scenario,latencyAvg,rps,latencyMax,latencyStdev,totalRequests,latency99,debit,timeout,read,write,connect,name,cpu_0,dram_0,cpu,dram,level,display_name,classification,database,language,os,framework,webserver,orm,platform,approach,status,5xx
fortune,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,hyper-db,438.8670196533203,103.78684997558594,798.1776428222656,203.70566177368164,0.0,hyper,micro,postgres,rust,linux,hyper,hyper,raw,rust,realistic,sucess,
fortune,0.00020192999999999999,,0.02582,0.00031957999999999997,1575960.0,0.00024599999999999996,102.07MB,,,,,hyper-db,1480.4187927246094,268.4872741699219,3013.1148376464844,538.3571586608887,16.0,hyper,micro,postgres,rust,linux,hyper,hyper,raw,rust,realistic,sucess,
fortune,0.00021265,,0.029570000000000003,0.00038039,3024297.0,0.000261,195.87MB,,,,,hyper-db,1921.3447265625,273.5028266906738,3526.591522216797,544.1787414550781,32.0,hyper,micro,postgres,rust,linux,hyper,hyper,raw,rust,realistic,sucess,
fortune,0.00022172999999999998,,0.03395,0.00036012999999999996,3591738.0,0.00028199999999999997,232.62MB,,,,,hyper-db,1936.9725341796875,273.7545280456543,3695.409118652344,549.0692176818848,64.0,hyper,micro,postgres,rust,linux,hyper,hyper,raw,rust,realistic,sucess,
fortune,0.00046504,,0.12596,0.00244,6583307.0,0.00098,426.37MB,,,,,hyper-db,2270.2654571533203,290.0631637573242,4318.924880981445,582.8917236328125,128.0,hyper,micro,postgres,rust,linux,hyper,hyper,raw,rust,realistic,sucess,
fortune,0.0051600000000000005,,1.10,0.05507,7405587.0,0.03667,479.62MB,,,,,hyper-db,2330.421615600586,290.94175720214844,4391.811264038086,583.2211227416992,256.0,hyper,micro,postgres,rust,linux,hyper,hyper,raw,rust,realistic,sucess,
fortune,0.02272,,1.83,0.14036,7388385.0,0.8957200000000001,478.52MB,,,,,hyper-db,2328.600006103516,291.80049896240234,4443.63916015625,586.3642997741699,512.0,hyper,micro,postgres,rust,linux,hyper,hyper,raw,rust,realistic,sucess,
fortune,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,tide,513.7580261230469,121.66082382202148,921.0948944091796,236.9769172668457,0.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
fortune,0.0005304999999999999,,0.00231,4.34e-05,593492.0,0.0006479999999999999,44.49MB,,,,,tide,696.5402679443359,258.7980079650879,2395.07731628418,524.154483795166,16.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
fortune,0.0005730599999999999,,0.0027,5.9159999999999996e-05,1101595.0,0.0007599999999999999,82.58MB,,,,,tide,925.0792083740234,260.8835334777832,2985.052047729492,536.4814987182617,32.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
fortune,0.00062195,,0.00396,8.363e-05,1270861.0,0.00088,95.28MB,,,,,tide,1109.4849090576172,275.3031234741211,3340.3920288085938,568.7390327453613,64.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
fortune,0.00161,,0.01255,0.0008355299999999999,1509221.0,0.00413,113.14MB,,,,,tide,1139.8196716308594,277.7420082092285,3376.8060913085938,579.7271690368652,128.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
fortune,0.00331,,0.025670000000000002,0.00213,1509735.0,0.010029999999999999,113.40MB,,,,,tide,1099.0798645019531,271.1027069091797,3276.2903900146484,564.029167175293,256.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
fortune,0.006730000000000001,,0.05148,0.00462,1505089.0,0.02127,112.83MB,,,,,tide,1129.1969299316406,275.00445556640625,3308.1542053222656,574.1800651550293,512.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
plaintext,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,tide,491.7061462402344,116.25348663330078,861.0429840087891,228.7700538635254,0.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
db,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,tide,458.9241027832031,108.7200927734375,820.2886810302734,210.94145584106445,0.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
db,0.04392,,0.04807,0.0020499999999999997,7286.0,0.047909999999999994,54.34KB,,,,,tide,667.4542999267578,175.0701904296875,1142.5491333007812,346.56078338623047,16.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
db,0.04395,,0.04814,0.00209,14573.0,0.047950000000000007,108.61KB,,,,,tide,672.9475708007812,202.959774017334,1270.4327697753906,400.3370933532715,32.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
db,0.04394,,0.04814,0.0020800000000000003,18215.0,0.047939999999999997,135.82KB,,,,,tide,889.9041900634766,210.00182723999023,1409.1939086914062,414.8186798095703,64.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
db,0.04397,,0.04828,0.00213,54564.0,0.048,406.98KB,,,,,tide,1182.3656463623047,249.83987426757807,1749.6736755371094,494.212516784668,128.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
